status,string({{.customInput.Employerid}}),string({{.customInput.PlaceOfService}}),string({{.customInput.CPT_HCPS}}),string({{.customInput.ModifierCode}}),string({{.customInput.TaxonomySpeciality}}),string({{.customInput.DiagnosisCode}}),string({{.customInput.SpecialityID}}),,numeric(BenefitCode),string(ServiceLine),numeric(RuleNumber),numeric(RuleRank)
true,-,"in [11,2,49,50,72]",-,-,"in [""Nephrology"",""OfficeVisit""]",-,in [161],,3,"""Nephrology - Specialist Visit""",220,154
true,-,"in [11,2,49,50,72]",-,-,"in [""Neurology"",""OfficeVisit""]",-,in [171],,3,"""Neurology - Specialist Visit""",222,155
true,-,"in [11,2,49,50,72]",-,-,"in [""Gastroenterology"",""OfficeVisit""]",-,in [181],,3,"""Gastroenterology - Specialist Visit""",89,156
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricGastroenterology"",""OfficeVisit""]",-,in [182],,3,"""Pediatric Gastroenterology - Specialist Visit""",298,157
true,-,"in [11,2,49,50,72]",-,-,"in [""Ophthalmology"",""Optometry"",""OfficeVisit""]",-,"in [211,212]",,3,"""Ophthalmology/Optometry - Specialist Visit""",261,158
true,-,"in [11,2,49,50,72]",-,-,"in [""ENT"",""OfficeVisit""]",-,in [216],,3,"""ENT - Specialist Visit""",425,159
true,-,"in [11,2,49,50,72]",-,-,"in [""Audiology"",""OfficeVisit""]",-,in [217],,3,"""Audiology - Specialist Visit""",419,160
true,-,"in [11,2,10,49,50,72]",-,-,"in [""Pediatrics"",""PrimaryCare"",""AdolescentMedicineandPediatric"",""AdolescentMedicine"",""OfficeVisit""]",-,"in [231,10037,11006,11005]",,1,"""Pediatrics - PCP Visit""",315,161
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricCardiology"",""OfficeVisit"",""CardiacProcedures""]",-,in [233],,3,"""Pediatric Cardiology - Specialist Visit""",295,162
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricEndocrinology"",""OfficeVisit""]",-,in [234],,3,"""Pediatric Endocrinology - Specialist Visit""",296,163
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricHema/Oncology"",""OfficeVisit""]",-,in [235],,3,"""Pediatric Hema/Oncology - Specialist Visit""",300,164
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricNephrology"",""OfficeVisit""]",-,in [236],,3,"""Pediatric Nephrology - Specialist Visit""",302,165
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricPulmonology"",""OfficeVisit""]",-,in [242],,3,"""Pediatric Pulmonology - Specialist Visit""",305,166
true,-,"in [11,2,49,50,72]",-,-,"in [""ReproductiveEndocrinology"",""OfficeVisit""]",-,in [255],,3,"""Reproductive Endocrinology - Specialist Visit""",348,167
true,-,"in [11,2,10,27,49,50,71,72]",-,-,"in [""PhysicianAssistant"",""PrimaryCare"",""OfficeVisit""]",-,"in [7,10037]",,1,"""Physician Assistant - PCP Visit""",491,168
true,-,"in [11,2,10,49,50,72]",-,-,"in [""Obstetrics/Gynecology"",""OfficeVisit""]",-,in [256],,1,"""Obstetrics/Gynecology - PCP Visit""",248,169
true,-,"in [11,2,49,50,72]",-,-,"in [""Anesthesiology"",""OfficeVisit""]",-,in [271],,3,"""Anesthesiology - Specialist Visit""",10,170
true,-,"in [11,2,49,50,72]",-,-,"in [""GeneralSurgery"",""OfficeVisit""]",-,in [281],,3,"""General Surgery - Specialist Visit""",108,171
true,-,"in [11,2,49,50,72]",-,-,"in [""PediatricSurgery"",""OfficeVisit""]",-,in [283],,3,"""Pediatric Surgery - Specialist Visit""",311,172
true,-,"in [11,2,49,50,72]",-,-,"in [""PlasticSurgery"",""OfficeVisit""]",-,in [284],,3,"""Plastic Surgery - Specialist Visit""",330,173
true,-,"in [11,2,49,50,72]",-,-,"in [""CardiothoracicSurgery"",""OfficeVisit""]",-,in [288],,3,"""Cardiothoracic Surgery - Specialist Visit""",34,174
true,-,"in [11,2,49,50,72]",-,-,"in [""ColorectalSurgery"",""OfficeVisit""]",-,in [290],,3,"""Colorectal Surgery - Specialist Visit""",45,175
true,-,"in [11,2,49,50,72]",-,-,"in [""Neurosurgery"",""OfficeVisit""]",-,in [293],,3,"""Neurosurgery - Specialist Visit""",229,176
