status,string({{.customInput.Employerid}}),string({{.customInput.PlaceOfService}}),string({{.customInput.ModifierCode}}),string({{.customInput.TaxonomySpeciality}}),string({{.customInput.DiagnosisCode}}),string({{.customInput.SpecialityID}}),,numeric(BenefitCode),string(ServiceLine),numeric(RuleNumber),numeric(RuleRank)
true,-,-,-,-,-,-,,3,"""Vascular Surgery - Specialist Visit""",408,178
true,-,-,-,-,-,-,,3,"""Oral and Maxillofacial Surgery - Specialist Visit""",263,179
true,-,-,-,-,-,-,,3,"""Podiatry - Specialist Visit""",335,180
true,-,-,-,-,-,-,,24,"""Chiropractor Visit""",867,181
true,-,-,-,-,-,-,,3,"""Chiropractor - Specialist Visit""",38,182
true,-,-,-,-,-,-,,27,"""Physical Therapy - Therapy""",424,183
true,-,-,-,-,-,-,,3,"""Physical Medicine & Rehab - Specialist Visit""",321,184
true,-,-,-,-,-,-,,16,"""Psychiatry - Mental Health Specialist Visit""",341,185
true,-,-,-,-,-,-,,16,"""Psychology - Mental Health Specialist Visit""",342,186
true,-,-,-,-,-,-,,27,"""Occupational Therapy - Therapy""",422,187
true,-,-,-,-,-,-,,3,"""Occupational Medicine - Specialist Visit""",250,188
true,-,-,-,-,-,-,,3,"""Nutrition - Specialist Visit""",239,189
true,-,-,-,-,-,-,,2,"""Acupuncture""",2,190
true,-,-,-,-,-,-,,3,"""Hepatology - Specialist Visit""",120,191
true,-,-,-,-,-,-,,16,"""Licensed Professional Counselor (LPC) - Mental Health Specialist Visit""",199,192
true,-,-,-,-,-,-,,16,"""Licensed Marriage & Family Therapist (LMFT) - Mental Health Specialist Visit""",198,193
true,-,-,-,-,-,-,,3,"""Sports Medicine - Specialist Visit""",368,194
true,-,-,-,-,-,-,,3,"""Pain Management - Specialist Visit""",284,195
true,-,-,-,-,-,-,,3,"""Anaplastology - Specialist Visit""",6,196
true,-,-,-,-,-,-,,3,"""Andrology - Specialist Visit""",7,197
true,-,-,-,-,-,-,,16,"""Anxiety Disorders - Mental Health Specialist Visit""",11,198
true,-,-,-,-,-,-,,25,"""Applied Behavioral Analysis - Therapy""",899,199
true,-,-,-,-,-,-,,16,"""Applied Behavioral Analysis - Mental Health""",911,200
true,-,-,-,-,-,-,,27,"""Applied Behavioral Analysis - Therapy""",12,201
true,-,-,-,-,-,-,,3,"""Athletic Trainer - Specialist Visit""",14,202
true,-,-,-,-,-,-,,3,"""Biofeedback - Specialist Visit""",18,203
true,-,-,-,-,-,-,,3,"""Brain Center - Specialist Visit""",20,204
true,-,-,-,-,-,-,,3,"""Cardiology - Specialist Visit""",22,205
