CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
0003A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3 ML DOSAGE, DILUENT RECONSTITUTED; THIRD",,,,,
0003F,Family Practice,Office Visit,"TOBACCO USE, NON-SMOKING, ASSESSED",,,,,
0003M,Lab ,Advanced Laboratory Services,LIVER DIS 10 ASSAYS SERUM ALGORITHM W/NASH,,,,,
0003T,Cardiology,Cardiac Procedures,(CODE DELETED IN 2007.) CERVICOGRAPHY (CPT CATEGORY III CODE),,,,,
0003U,Lab ,Advanced Laboratory Services,"ONCOLOGY (OVARIAN) BIOCHEMICAL ASSAYS OF FIVE PROTEINS (APOLIPOPROTEIN A-1, CA 125 II, FOLLICLE STIMULATING HORMONE, HUMAN EPIDIDYMIS PROTEIN 4, TRANSFERRIN), UTILIZING SERUM, ALGORITHM REPORTED AS A LIKELIHOOD SCORE",,,,,
0004A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0004F,Family Practice,Office Visit,"TOBACCO USE CESSATION INTERVENTION, COUNSELING",,,,,
0004M,Lab ,Advanced Laboratory Services,"SCOLIOSIS, DNA ANALYSIS OF 53 SINGLE NUCLEOTIDE POLYMORPHISMS (SNPS), USING SALIVA, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE",,,,,
0004T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2001. TO REPORT, USE 88380) MICRODISSECTION(E.G., LASER CAPTURE MICRODISSECTION) (CPT CATEGORY III CODE)",,,,,
0004U,Lab ,Routine Lab and Pathology Services,"INFECTIOUS DISEASE (BACTERIAL), DNA, 27 RESISTANCE GENES, PCR AMPLIFICATION AND PROBE HYBRIDIZATION IN MICROARRAY FORMAT (MOLECULAR DETECTION AND IDENTIFICATION OF AMPC, CARBAPENEMASE AND ESBL CODING GENES), BACTERIAL CULTURE COLONIES, REPORT OF GENES DET",,,,,
0005F,Family Practice,Office Visit,OSTEOARTHRITIS ASSESSED. OSTEOARTHRITIS SYMPTOMS AND FUNCTIONAL STATUS ASSESSED (1006F). INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS: USE OF ANTI-INFLAMMATORY OR OVER-THE-COUNTER (OTC) ANALGESIC MEDICATIONS ASSESSED (1007F). INITIAL,,,,,
0005M,Lab ,Advanced Laboratory Services,"FETAL ANEUPLOIDY (TRISOMY 21, 18, AND 13) DNA SEQUENCE ANALYSIS OF SELECTED REGIONS USING MATERNAL PLASMA, ALGORITHM REPORTED AS A RISK SCORE FOR EACH TRISOMY",,,,,
0005T,Cardiology,Cardiac Procedures,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL CEREBROVASCULAR ARTERY STENT(S), PERCUTANEOUS; INITIAL VESSEL (CPT CATEGORY III CODE)",,,,,
0005U,Lab ,Advanced Laboratory Services,"ONCOLOGY (PROSTATE) GENE EXPRESSION PROFILE BY REAL-TIME RT-PCR OF 3 GENES (ERG, PCA3, AND SPDEF), URINE, ALGORITHM REPORTED AS RISK SCORE",,,,,
0006F,Family Practice,Office Visit,"STATIN THERAPY, PRESCRIBED",,,,,
0006M,Lab ,Advanced Laboratory Services,"ONCOLOGY (HEPATIC), MRNA EXPRESSION LEVELS OF 161 GENES, UTILIZING FRESH HEPATOCELLULAR CARCINOMA TUMOR TISSUE, WITH ALPHA-FETOPROTEIN LEVEL, ALGORITHM REPORTED AS A RISK CLASSIFIER",,,,,
0006T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2005. TO REPORT, SEE 0075T, 0076T) TRANSCATHETER PLACEMENT OF EXTRACRANIAL CEREBROVASCULAR ARTERY STENT(S), PERCUTANEOUS; EACH ADDITIONAL VESSEL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE) (CPT CATEGORY III",,,,,
0006U,Lab ,Advanced Laboratory Services,"DETECTION OF INTERACTING MEDICATIONS, SUBSTANCES, SUPPLEMENTS AND FOODS, 120 OR MORE ANALYTES, DEFINITIVE CHROMATOGRAPHY WITH MASS SPECTROMETRY, URINE, DESCRIPTION AND SEVERITY OF EACH INTERACTION IDENTIFIED, PER DATE OF SERVICE",,,,,
0007F,Family Practice,Office Visit,"(CODE DELETED IN 2004) BETA-BLOCKER THERAPY, PRESCRIBED",,,,,
0007M,Lab ,Advanced Laboratory Services,"ONCOLOGY (GASTROINTESTINAL NEUROENDOCRINE TUMORS), REAL-TIME PCR EXPRESSION ANALYSIS OF 51 GENES, UTILIZING WHOLE PERIPHERAL BLOOD, ALGORITHM REPORTED AS A NOMOGRAM OF TUMOR DISEASE INDEX",,,,,
0007T,Cardiology,Cardiac Procedures,"TRANSCATHETER PLACEMENT OF EXTRACRANIAL CEREBROVASCULAR ARTERY STENT(S), PERCUTANEOUS, RADIOLOGICAL SUPERVISION AND INTERPRETATION, EACH VESSEL (CPT CATEGORY III CODE)",,,,,
0007U,Lab ,Advanced Laboratory Services,"DRUG TEST(S), PRESUMPTIVE, WITH DEFINITIVE CONFIRMATION OF POSITIVE RESULTS, ANY NUMBER OF DRUG CLASSES, URINE, INCLUDES SPECIMEN VERIFICATION INCLUDING DNA AUTHENTICATION IN COMPARISON TO BUCCAL DNA, PER DATE OF SERVICE",,,,,
0008F,Family Practice,Office Visit,"ACE INHIBITOR THERAPY, PRESCRIBED",,,,,
0008M,Lab ,Advanced Laboratory Services,"ONCOLOGY (BREAST), MRNA ANALYSIS OF 58 GENES USING HYBRID CAPTURE, ON FORMALIN-FIXED PARAFFIN-EMBEDDED (FFPE) TISSUE, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE",,,,,
0008T,Gastroenterology,Colon,"(CODE DELETED IN 2007.) UPPER GASTROINTESTINAL ENDOSCOPY INCLUDING ESOPHAGUS, STOMACH, AND EITHER THE DUODENUM AND/ORJEJUNUM AS APPROPRIATE; WITH SUTURING OF THE ESOPHAGOGASTRICJUNCTION (CPT CATEGORY III CODE)",,,,,
0008U,Lab ,Advanced Laboratory Services,"HELICOBACTER PYLORI DETECTION AND ANTIBIOTIC RESISTANCE, DNA, 16S AND 23S RRNA, GYRA, PBP1, RDXA AND RPOB, NEXT-GENERATION SEQUENCING, FORMALIN-FIXED PARAFFIN-EMBEDDED OR FRESH TISSUE OR FECAL SAMPLE, PREDICTIVE, REPORTED AS POSITIVE OR NEGATIVE FOR RESIS",,,,,
0009F,Family Practice,Office Visit,"(CODE DELETED IN 2004 TO REPORT USE 1002F) ANGINAL SYMPTOMS AND LEVEL OF ACTIVITY, ASSESSED (CPT CATEGORY II CODE)",,,,,
0009M,Lab ,Advanced Laboratory Services,"FETAL ANEUPLOIDY (TRISOMY 21, AND 18) DNA SEQUENCE ANALYSIS OF SELECTED REGIONS USING MATERNAL PLASMA, ALGORITHM REPORTED AS A RISK SCORE FOR EACH TRISOMY",,,,,
0009T,Obstetrics/Gynecology,OB/GYN,ENDOMETRIAL CRYOABLATION WITH ULTRASONIC GUIDANCE (CPT CATEGORY III CODE),,,,,
0009U,Lab ,Advanced Laboratory Services,"ONCOLOGY (BREAST CANCER), ERBB2 (HER2) COPY NUMBER BY FISH, TUMOR CELLS FROM FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE ISOLATED USING IMAGE-BASED DIELECTROPHORESIS (DEP) SORTING, REPORTED AS ERBB2 GENE AMPLIFIED OR NON-AMPLIFIED",,,,,
00100,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY",,,,,
00102,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES INVOLVING PLASTIC REPAIR OF CLEFT LIP,,,,,
00103,Anesthesiology,Anesthesia,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)",,,,,
00104,Anesthesiology,Anesthesia,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,,,,,
0010F,Family Practice,Office Visit,"ANGINAL SYMPTOMS AND LEVEL OF ACTIVITY, ASSESSED USING A STANDARDIZED INSTRUMENT (EG, CANADIAN CARDIOVASCULAR SOCIETYCLASSIFICATION-CCSC-SYSTEM, SEATTLE ANGINA QUESTIONNAIRE-SAQ)",,,,,
0010M,Lab ,Advanced Laboratory Services,"ONCOLOGY (HIGH-GRADE PROSTATE CANCER), BIOCHEMICAL ASSAY OF FOUR PROTEINS (TOTAL PSA, FREE PSA, INTACT PSA AND HUMAN KALLIKREIN 2 [HK2]) UTILIZING PLASMA OR SERUM, PROGNOSTIC ALGORITHM REPORTED AS A PROBABILITY SCORE",,,,,
0010T,Lab ,Routine Lab and Pathology Services,"TUBERCULOSIS TEST, CELL MEDIATED IMMUNITY MEASUREMENT OF GAMMA INTERFERON ANTIGEN RESPONSE (CPT CATEGORY III CODE)",,,,,
0010U,Lab ,Advanced Laboratory Services,"INFECTIOUS DISEASE (BACTERIAL), STRAIN TYPING BY WHOLE GENOME SEQUENCING, PHYLOGENETIC-BASED REPORT OF STRAIN RELATEDNESS, PER SUBMITTED ISOLATE",,,,,
0011A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 100 MCG/0.5ML DOSAGE; FIRST DOSE",,,,,
0011F,Family Practice,Office Visit,"(CODE DELETED IN 2004) ORAL ANTIPLATELET THERAPY; PRESCRIBED(EG, ASPIRIN, CLOPIDOGREL/ PLAVIX, OR COMBINATION OF ASPIRINAND DIPYRIDAMOLE/AGGRENOX)",,,,,
0011M,Lab ,Advanced Laboratory Services,"ONCOLOGY, PROSTATE CANCER, MRNA EXPRESSION ASSAY OF 12 GENES (10 CONTENT AND 2 HOUSEKEEPING), RT-PCR TEST UTILIZING BLOOD PLASMA AND URINE, ALGORITHMS TO PREDICT HIGH-GRADE PROSTATE CANCER RISK",,,,,
0011U,Lab ,Advanced Laboratory Services,"PRESCRIPTION DRUG MONITORING, EVALUATION OF DRUGS PRESENT BY LC-MS/MS, USING ORAL FLUID, REPORTED AS A COMPARISON TO AN ESTIMATED STEADY-STATE RANGE, PER DATE OF SERVICE INCLUDING ALL DRUG COMPOUNDS AND METABOLITES",,,,,
00120,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EARINCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",,,,,
00124,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EARINCLUDING BIOPSY; OTOSCOPY",,,,,
00126,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EARINCLUDING BIOPSY; TYMPANOTOMY",,,,,
0012A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 100 MCG/0.5ML DOSAGE; SECOND DOSE",,,,,
0012F,Family Practice,Office Visit,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSESSMENT (INCLUDES ALL OF THE FOLLOWING COMPONENTS) (CAP)1: CO-MORBID CONDITIONS ASSESSED (1026F)1 VITAL SIGNS RECORDED (2010F)1 MENTAL STATUS ASSESSED (2014F)1 HYDRATION STATUS ASSESSED (2018F)1 (CP,,,,,
0012M,Lab ,Advanced Laboratory Services,"ONCOLOGY (UROTHELIAL), MRNA, GENE EXPRESSION PROFILING BY REAL-TIME QUANTITATIVE PCR OF FIVE GENES (MDK, HOXA13, CDC2 [CDK1], IGFBP5, AND CXCR2), UTILIZING URINE, ALGORITHM REPORTED AS A RISK SCORE FOR HAVING UROTHELIAL CARCINOMA",,,,,
0012T,Orthopedic Surgery,Orthopedic Surgery,"ARTHROSCOPY, KNEE, SURGICAL, IMPLANTATION OF OSTEOCHONDRAL GRAFT(S) FOR TREATMENT OF ARTICULAR SURFACE DEFECT; AUTOGRAFTS (CPT CATEGORY III CODE)",,,,,
0012U,Lab ,Advanced Laboratory Services,"GERMLINE DISORDERS, GENE REARRANGEMENT DETECTION BY WHOLE GENOME NEXT-GENERATION SEQUENCING, DNA, WHOLE BLOOD, REPORT OF SPECIFIC GENE REARRANGEMENT(S)",,,,,
0013A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0013M,Lab ,Advanced Laboratory Services,"ONCOLOGY (UROTHELIAL), MRNA, GENE EXPRESSION PROFILING BY REAL-TIME QUANTITATIVE PCR OF FIVE GENES (MDK, HOXA13, CDC2 [CDK1], IGFBP5, AND CXCR2), UTILIZING URINE, ALGORITHM REPORTED AS A RISK SCORE FOR HAVING RECURRENT UROTHELIAL CARCINOMA",,,,,
0013T,Orthopedic Surgery,Orthopedic Surgery,"ARTHROSCOPY, KNEE, SURGICAL, IMPLANTATION OF OSTEOCHONDRAL GRAFT(S) FOR TREATMENT OF ARTICULAR SURFACE DEFECT; ALLOGRAFTS (CPT CATEGORY III CODE)",,,,,
0013U,Lab ,Advanced Laboratory Services,"ONCOLOGY (SOLID ORGAN NEOPLASIA), GENE REARRANGEMENT DETECTION BY WHOLE GENOME NEXT-GENERATION SEQUENCING, DNA, FRESH OR FROZEN TISSUE OR CELLS, REPORT OF SPECIFIC GENE REARRANGEMENT(S)",,,,,
00140,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; NOT OTHERWISE SPECIFIED,,,,,
00142,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; LENS SURGERY,,,,,
00144,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; CORNEAL TRANSPLANT,,,,,
00145,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; VITREORETINAL SURGERY,,,,,
00146,Anesthesiology,Anesthesia,(CODE DELETED IN 1987.) ANESTHESIA FOR PROCEDURES ON EYE; BIOPSY OF CONJUNCTIVA,,,,,
00147,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; IRIDECTOMY,,,,,
00148,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON EYE; OPHTHALMOSCOPY,,,,,
0014A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0014F,Family Practice,Office Visit,COMPREHENSIVE PREOPERATIVE ASSESSMENT PERFORMED FOR CATARACTSURGERY WITH INTRAOCULAR LENS (IOL) PLACEMENT (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (EC)5: DILATED FUNDUS EVALUATION PERFORMED WITHIN TWELVE MONTHS PRIOR TO CATA,,,,,
0014M,Lab ,Advanced Laboratory Services,"LIVER DISEASE, ANALYSIS OF 3 BIOMARKERS (HYALURONIC ACID [HA], PROCOLLAGEN III AMINO TERMINAL PEPTIDE [PIIINP], TISSUE INHIBITOR OF METALLOPROTEINASE 1 [TIMP-1]), USING IMMUNOASSAYS, UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS A RISK SCORE AND RISK ",,,,,
0014T,Orthopedic Surgery,Orthopedic Surgery,"MENISCAL TRANSPLANTATION, MEDIAL OR LATERAL, KNEE (ANY METHOD) (CPT CATEGORY III CODE)",,,,,
0014U,Lab ,Advanced Laboratory Services,"HEMATOLOGY (HEMATOLYMPHOID NEOPLASIA), GENE REARRANGEMENT DETECTION BY WHOLE GENOME NEXT-GENERATION SEQUENCING, DNA, WHOLE BLOOD OR BONE MARROW, REPORT OF SPECIFIC GENE REARRANGEMENT(S)",,,,,
0015F,Family Practice,Office Visit,MELANOMA FOLLOW UP COMPLETED (INCLUDES ASSESSMENT OF ALL OF THE FOLLOWING COMPONENTS) (ML)5: HISTORY OBTAINED REGARDING NEW OR CHANGING MOLES (1050F)5 COMPLETE PHYSICAL SKIN EXAM PERFORMED (2029F)5 PATIENT COUNSELED TO PERFORM A MONTHLY SEL,,,,,
0015M,Lab ,Advanced Laboratory Services,"ADRENAL CORTICAL TUMOR, BIOCHEMICAL ASSAY OF 25 STEROID MARKERS, UTILIZING 24-HOUR URINE SPECIMEN AND CLINICAL PARAMETERS, PROGNOSTIC ALGORITHM REPORTED AS A CLINICAL RISK AND INTEGRATED CLINICAL STEROID RISK FOR ADRENAL CORTICAL CARCINOMA, ADENOMA, OR OT",,,,,
0015U,Lab ,Advanced Laboratory Services,"DRUG METABOLISM (ADVERSE DRUG REACTIONS), DNA, 22 DRUG METABOLISM AND TRANSPORTER GENES, REAL-TIME PCR, BLOOD OR BUCCAL SWAB, GENOTYPE AND METABOLIZER STATUS FOR THERAPEUTIC DECISION SUPPORT",,,,,
00160,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; NOTOTHERWISE SPECIFIED,,,,,
00162,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; RADICAL SURGERY,,,,,
00164,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES; BIOPSY, SOFT TISSUE",,,,,
0016M,Lab ,Advanced Laboratory Services,"ONCOLOGY (BLADDER), MRNA, MICROARRAY GENE EXPRESSION PROFILING OF 219 GENES, UTILIZING FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE, ALGORITHM REPORTED AS MOLECULAR SUBTYPE (LUMINAL, LUMINAL INFILTRATED, BASAL, BASAL CLAUDIN-LOW, NEUROENDOCRINE-LIKE)",,,,,
0016T,Ophthalmology,Ophthalmology,"DESTRUCTION OF LOCALIZED LESION OF CHOROID (E.G., CHOROIDAL NEOVASCULARIZATION), TRANSPUPILLARY THERMOTHERAPY (CPT CATEGORY III CODE)",,,,,
0016U,Lab ,Advanced Laboratory Services,"ONCOLOGY (HEMATOLYMPHOID NEOPLASIA), RNA, BCR/ABL1 MAJOR AND MINOR BREAKPOINT FUSION TRANSCRIPTS, QUANTITATIVE PCR AMPLIFICATION, BLOOD OR BONE MARROW, REPORT OF FUSION NOT DETECTED OR DETECTED WITH QUANTITATION",,,,,
00170,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",,,,,
00172,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; REPAIR OF CLEFT PALATE",,,,,
00174,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; EXCISION OF RETROPHARYNGEAL TUMOR",,,,,
00176,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY; RADICAL SURGERY",,,,,
0017M,Lab ,Advanced Laboratory Services,"ONCOLOGY (DIFFUSE LARGE B-CELL LYMPHOMA [DLBCL]), MRNA, GENE EXPRESSION PROFILING BY FLUORESCENT PROBE HYBRIDIZATION OF 20 GENES, FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE, ALGORITHM REPORTED AS CELL OF ORIGIN",,,,,
0017T,Ophthalmology,Ophthalmology,"(CODE DELETED IN 2011.) DESTRUCTION OF MACULAR DRUSEN, PHOTOCOAGULATION (CPT CATEGORY III CODE)",,,,,
0017U,Lab ,Advanced Laboratory Services,"ONCOLOGY (HEMATOLYMPHOID NEOPLASIA), JAK2 MUTATION, DNA, PCR AMPLIFICATION OF EXONS 12-14 AND SEQUENCE ANALYSIS, BLOOD OR BONE MARROW, REPORT OF JAK2 MUTATION NOT DETECTED OR DETECTED",,,,,
0018M,Lab ,Advanced Laboratory Services,"TRANSPLANTATION MEDICINE (ALLOGRAFT REJECTION, RENAL), MEASUREMENT OF DONOR AND THIRD-PARTY-INDUCED CD154+T-CYTOTOXIC MEMORY CELLS, UTILIZING WHOLE PERIPHERAL BLOOD, ALGORITHM REPORTED AS A REJECTION RISK SCORE",,,,,
0018T,Ophthalmology,Ophthalmology,"DELIVERY OF HIGH POWER, FOCAL MAGNETIC PULSES FOR DIRECT STIMULATION TO CORTICAL NEURONS (CPT CATEGORY III CODE)",,,,,
0018U,Lab ,Advanced Laboratory Services,"ONCOLOGY (THYROID), MICRORNA PROFILING BY RT-PCR OF 10 MICRORNA SEQUENCES, UTILIZING FINE NEEDLE ASPIRATE, ALGORITHM REPORTED AS A POSITIVE OR NEGATIVE RESULT FOR MODERATE TO HIGH RISK OF MALIGNANCY",,,,,
00190,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; NOT OTHERWISE SPECIFIED,,,,,
00192,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL; RADICAL SURGERY (INCLUDING PROGNATHISM),,,,,
0019T,Ophthalmology,Ophthalmology,"EXTRACORPOREAL SHOCK WAVE INVOLVING MUSCULOSKELETAL SYSTEM, NOT OTHERWISE SPECIFIED, LOW ENERGY (CPT CATEGORY III CODE)",,,,,
0019U,Lab ,Advanced Laboratory Services,"ONCOLOGY, RNA, GENE EXPRESSION BY WHOLE TRANSCRIPTOME SEQUENCING, FORMALIN-FIXED PARAFFIN EMBEDDED TISSUE OR FRESH FROZEN TISSUE, PREDICTIVE ALGORITHM REPORTED AS POTENTIAL TARGETS FOR THERAPEUTIC AGENTS",,,,,
0020T,Ophthalmology,Ophthalmology,"(CODE DELETED IN 2006. TO REPORT, USE 28890) EXTRACORPOREAL SHOCK WAVE THERAPY; INVOLVING PLANTAR FASCIA (CPT CATEGORY III CODE)",,,,,
0020U,Lab ,Advanced Laboratory Services,"DRUG TEST(S), PRESUMPTIVE, WITH DEFINITIVE CONFIRMATION OF POSITIVE RESULTS, ANY NUMBER OF DRUG CLASSES, URINE, WITH SPECIMEN VERIFICATION INCLUDING DNA AUTHENTICATION IN COMPARISON TO BUCCAL DNA, PER DATE OF SERVICE",,,,,
00210,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; NOT OTHERWISE SPECIFIED,,,,,
00211,Anesthesiology,Anesthesia,NULL,,,,,
00212,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; SUBDURAL TAPS,,,,,
00214,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; BURR HOLES, INCLUDING VENTRICULOGRAPHY",,,,,
00215,Anesthesiology,Anesthesia,"ANESTHESIA FOR INTRACRANIAL PROCEDURES; CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE ORCOMPOUND)",,,,,
00216,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; VASCULAR PROCEDURES,,,,,
00218,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; PROCEDURES IN SITTING POSITION,,,,,
0021A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, DNA, SPIKE PROTEIN, CHIMPANZEE ADENOVIRUS OXFORD 1 (CHADOX1) VECTOR, PRESERVATIVE FREE, 5X1010",,,,,
0021T,Obstetrics/Gynecology,OB/GYN,(CODE DELETED IN 2007.) INSERTION OF TRANSCERVICAL OR TRANSVAGINAL FETAL OXIMETRY SENSOR (CPT CATEGORY III CODE),,,,,
